predicted_fare_amount,actual_fare_amount,error,passenger_count,trip_distance,pickup_hour,day_of_week,PULocationID,DOLocationID
82.688347383768246,8.0,74.69,1,20.6,1,4,74,74
12.232826770516269,3.0,9.23,1,1.5,13,4,162,162
8.9375601926852575,82.0,-73.06,1,0.59,15,4,132,132
12.328447268342192,95.0,-82.67,2,1.45,17,4,124,216
21.901489555051207,130.0,-108.1,2,3.9,16,6,1,1
13.199592672655017,3.0,10.2,1,1.7,20,6,236,236
22.94308708841773,83.0,-60.06,1,4.3,23,6,144,148
9.5087945908377147,3.0,6.51,1,0.7,0,7,162,162
12.983692609934694,3.0,9.98,1,1.6,14,7,164,164
10.537483021080023,20.0,-9.46,1,1.2,2,1,231,231
15.360984295609235,20.0,-4.64,1,2.4,15,1,43,43
45.812931764960013,60.0,-14.19,1,10.7,21,1,223,223
9.3396392492552334,75.0,-65.66,2,0.68,16,2,129,138
9.5027988032376545,7.2,2.3,1,0.85,18,2,234,264
29.404384533324645,83.0,-53.6,1,6.2,21,2,170,170
13.929474685885504,3.0,10.93,1,2.0,11,3,163,163
11.450195686529021,70.0,-58.55,1,1.3,20,3,161,161
9.8683941465259846,16.0,-6.13,1,0.9,21,3,249,249
32.540691825489489,3.0,29.54,1,7.0,13,4,151,151
10.186841738846828,87.0,-76.81,3,0.76,14,4,132,132
15.598571537766752,3.0,12.6,1,2.4,15,4,145,145
9.1096483777419319,8.6,0.51,2,0.59,16,4,249,249
9.3272308228086711,3.0,6.33,1,0.7,17,4,161,161
71.023368839227857,3.0,68.02,1,17.4,23,5,246,246
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
10.614706419207909,3.0,7.61,1,1.0,9,6,145,145
21.354486101006032,3.0,18.35,1,3.9,23,6,233,233
9.2051734935476226,25.0,-15.79,1,0.7,18,1,265,1
74.817136611760219,3.0,71.82,1,18.5,17,2,114,114
15.065225167477227,3.0,12.07,1,2.3,21,2,132,132
10.981752256792223,9.3,1.68,2,1.15,8,3,234,234
15.989725542269348,3.0,12.99,1,2.5,19,4,162,162
11.803915047492893,3.0,8.8,1,1.3,11,6,100,100
17.338543609430868,3.0,14.34,1,2.8,16,6,142,142
27.301838661376564,30.0,-2.7,1,5.68,5,1,80,80
62.028485238194676,70.0,-7.97,1,15.06,23,1,70,138
9.4137186084636628,17.5,-8.09,1,0.8,9,2,260,129
16.050626515504504,3.0,13.05,1,2.5,22,3,48,48
9.7101799945561318,45.0,-35.29,4,0.51,5,5,224,65
12.670454760759089,3.0,9.67,1,1.6,18,5,246,246
9.4220680309405616,5.8,3.62,1,0.75,1,6,48,264
20.171873859569565,17.7,2.47,1,3.56,23,6,179,179
9.07180004268963,3.0,6.07,1,0.5,17,7,79,79
48.003791072836528,3.0,45.0,1,11.1,19,7,230,230
8.5713296239860952,64.0,-55.43,1,0.59,15,2,260,223
14.609853421117263,20.0,-5.39,3,2.03,20,2,193,193
28.407405422384414,82.0,-53.59,1,5.9,20,2,79,79
8.39370047687859,59.0,-50.61,1,0.5,8,3,129,138
8.6318166633779789,3.0,5.63,1,0.6,8,3,237,237
50.8682888060288,45.7,5.17,1,12.0,22,3,224,224
17.025347781016393,13.5,3.53,6,2.41,23,3,264,264
15.558531523505613,3.0,12.56,1,2.4,22,4,234,234
8.285421158262988,4.4,3.89,1,0.52,3,3,186,230
8.81098590548346,5.1,3.71,1,0.62,6,3,141,141
8.3853666286749213,4.4,3.99,1,0.54,6,3,239,239
8.8312308957698651,5.1,3.73,1,0.62,7,3,229,141
9.0106278512280262,5.1,3.91,1,0.65,7,3,186,90
8.5224574273670033,5.1,3.42,1,0.57,8,3,236,236
8.6564863302638422,4.4,4.26,1,0.54,9,3,262,75
8.7223098686301928,5.1,3.62,1,0.54,11,3,238,43
8.6912140302752157,4.4,4.29,1,0.56,14,3,132,132
9.5279340315316947,3.7,5.83,1,0.8,22,3,236,236
8.925165341278829,5.1,3.83,1,0.6,22,3,170,137
8.9207914774428971,4.4,4.52,1,0.6,5,4,114,90
8.5061225353207437,4.4,4.11,1,0.5,7,4,107,137
9.2855442062858362,5.1,4.19,1,0.71,8,4,238,151
8.5322261184443011,4.4,4.13,1,0.54,8,4,239,239
8.7307082460221519,4.4,4.33,1,0.53,10,4,79,79
8.4072777651904,4.4,4.01,1,0.5,14,4,140,263
8.4671604530423643,4.4,4.07,1,0.5,15,4,237,236
8.8697390566826133,5.1,3.77,1,0.6,18,4,237,236
8.9902760761508,5.1,3.89,1,0.6,21,4,162,170
8.7216369614563121,4.4,4.32,1,0.5,22,4,234,113
8.9259430795439929,4.4,4.53,1,0.57,22,4,239,151
8.9176187667330957,4.4,4.52,1,0.53,23,4,48,48
9.5857349487812851,5.1,4.49,2,0.66,23,4,238,151
8.6277328031950749,4.4,4.23,1,0.54,0,5,90,186
9.0673423109813651,5.1,3.97,1,0.66,5,5,170,233
9.0808601620015512,5.1,3.98,1,0.63,7,5,170,162
8.5611848814891456,4.4,4.16,1,0.51,9,5,236,236
8.87615260566223,5.1,3.78,1,0.58,9,5,90,186
9.7062863221614091,16.5,-6.79,1,0.8,10,5,188,188
10.063803566012979,64.05,-53.99,1,0.87,13,5,129,138
9.8138079227228889,5.1,4.71,2,0.67,19,5,263,75
9.1017815643169531,4.4,4.7,1,0.59,20,5,239,151
8.931667622040127,5.1,3.83,1,0.5,20,5,43,24
13.140774089683712,3.0,10.14,1,1.7,21,5,68,186
8.69562851381385,4.4,4.3,1,0.51,21,5,236,236
8.9852243574973549,4.4,4.59,2,0.5,22,5,237,237
9.4618602073391163,5.1,4.36,1,0.68,22,5,140,140
8.968277445336545,4.4,4.57,1,0.51,23,5,48,48
9.14190385547211,5.1,4.04,1,0.59,23,5,107,137
9.1907182358425015,5.1,4.09,1,0.63,6,6,137,162
9.2927144985988939,5.1,4.19,1,0.62,7,6,68,68
9.0051733165237682,5.1,3.91,1,0.6,8,6,237,237
9.2265884322713667,5.1,4.13,1,0.62,9,6,239,142
8.6490164839863866,4.4,4.25,1,0.5,9,6,141,229
8.80753104389919,4.4,4.41,1,0.54,10,6,236,236
8.76325245223627,4.4,4.36,1,0.52,13,6,238,239
