predicted_fare_amount,actual_fare_amount,error,trip_distance,passenger_count,pickup_hour,day_of_week,trip_type,airport_flag,PULocationID,DOLocationID
86.62,119.2,-32.58,17.53,1,13,4,standard,0,13,1
66.53,91.2,-24.67,13.47,1,12,3,standard,0,13,1
72.36,74.8,-2.44,13.8,1,13,4,standard,0,13,1
69.74,74.1,-4.36,13.8,1,10,3,standard,0,13,1
66.88,71.3,-4.42,13.2,1,13,4,standard,0,13,1
86.07,84.6,1.47,15.86,1,16,3,standard,0,13,1
89.3,84.6,4.7,15.94,3,13,7,standard,0,13,1
65.81,139.0,-73.19,13.7,1,12,7,standard,0,13,1
66.53,73.4,-6.87,13.63,1,12,4,standard,0,13,1
59.55,95.04,-35.49,11.33,1,6,7,standard,0,13,1
80.22,76.9,3.32,15.0,1,14,3,standard,0,13,1
66.66,71.3,-4.64,13.2,1,13,3,standard,0,13,1
69.74,74.1,-4.36,14.05,1,7,3,standard,0,13,1
73.66,81.8,-8.14,13.97,1,16,5,standard,0,13,1
66.88,74.8,-7.92,13.7,1,14,4,standard,0,13,1
84.55,82.5,2.05,16.39,1,13,3,standard,0,13,1
81.95,90.9,-8.95,15.5,1,17,5,standard,0,13,1
91.55,97.2,-5.65,20.53,1,7,5,standard,0,24,1
103.96,121.0,-17.04,26.02,2,10,2,standard,0,33,1
84.23,92.3,-8.07,17.46,1,9,3,standard,0,40,1
88.5,93.0,-4.5,17.35,1,16,4,standard,0,43,1
102.76,101.4,1.36,21.3,4,11,3,standard,0,43,1
99.05,95.1,3.95,20.0,2,12,1,standard,0,43,1
89.14,90.9,-1.76,18.51,1,13,5,standard,0,43,1
93.22,99.3,-6.08,19.3,1,15,4,standard,0,43,1
87.55,86.7,0.85,18.0,1,5,1,standard,0,43,1
89.41,88.1,1.31,17.81,3,7,4,standard,0,43,1
93.78,92.3,1.48,19.2,2,15,1,standard,0,43,1
88.07,100.0,-11.93,16.52,2,20,4,standard,0,43,1
89.04,86.0,3.04,17.16,2,15,2,standard,0,43,1
90.4,95.8,-5.4,17.8,2,12,5,standard,0,45,1
74.33,90.0,-15.67,11.87,4,14,3,standard,0,45,1
79.84,78.3,1.54,13.93,2,18,5,standard,0,45,1
